UEN,ONLINE_PRESENCE_IND,CORPORATE_URL_IND,ECOM_REV,ECOM_REV_IND,TRUE_IE
199803133G,1.0,1.0,0.0,0.0,B
199803308M,1.0,1.0,5000.0,1.0,C
199803403M,1.0,1.0,0.0,0.0,B
199803737W,1.0,1.0,0.0,0.0,B
199803859Z,1.0,1.0,0.0,0.0,B
199803872H,1.0,1.0,70000.0,1.0,C
199803934N,1.0,1.0,0.0,0.0,B
199804163C,1.0,1.0,1000.0,1.0,C
199804257G,1.0,1.0,0.0,0.0,B
199804271G,1.0,1.0,0.0,0.0,B
199804318C,1.0,0.0,96267.0,1.0,C
199804757Z,1.0,1.0,0.0,0.0,B
199805584M,1.0,1.0,0.0,0.0,B
199806384Z,1.0,1.0,0.0,0.0,B
199806419Z,1.0,1.0,4803.0,1.0,C
199900189K,1.0,1.0,0.0,0.0,B
199901701E,1.0,1.0,0.0,0.0,B
199901859K,1.0,0.0,0.0,0.0,B
199902026Z,1.0,0.0,0.0,0.0,B
199903253K,1.0,1.0,0.0,0.0,B
199905118M,1.0,1.0,100000.0,1.0,C
199905160H,1.0,1.0,800.0,1.0,C
199905164M,1.0,1.0,44782.0,1.0,C
199905434W,1.0,1.0,10000.0,1.0,C
199905498W,1.0,1.0,0.0,0.0,B
199905800N,1.0,1.0,0.0,0.0,B
199906237W,1.0,1.0,0.0,0.0,B
199906564G,1.0,1.0,0.0,0.0,B
199906709N,1.0,1.0,0.0,0.0,B
199907271Z,1.0,1.0,0.0,0.0,B
199907434K,1.0,1.0,5000.0,1.0,C
199907764M,1.0,1.0,9000.0,1.0,C
200000194K,1.0,1.0,0.0,0.0,B
200000552R,1.0,1.0,0.0,0.0,B
200001903W,1.0,1.0,2095471.0,1.0,C
200002009H,1.0,1.0,0.0,0.0,B
200002263H,1.0,1.0,63000.0,1.0,C
200002391Z,1.0,1.0,0.0,0.0,B
200003017R,1.0,1.0,0.0,0.0,B
200003047N,1.0,1.0,0.0,0.0,B
200003371K,1.0,1.0,0.0,0.0,B
200003832D,1.0,1.0,0.0,0.0,B
200003947E,1.0,1.0,0.0,0.0,B
200004062C,1.0,1.0,179000.0,1.0,C
200004201D,1.0,1.0,261000.0,1.0,C
200004310Z,1.0,1.0,0.0,0.0,B
200004371G,1.0,1.0,353.0,1.0,C
200005241K,1.0,1.0,0.0,0.0,B
200005311G,1.0,1.0,3000.0,1.0,C
200005742N,1.0,1.0,21997.0,1.0,C
200006547R,1.0,1.0,0.0,0.0,B
200006816K,1.0,0.0,0.0,0.0,B
